ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,last_updated_utc
A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,0001090872,2025-09-21T06:04:50.62682634Z
AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,0001675149,2025-09-21T06:04:50.626826971Z
AAA,Alternative Access First Priority CLO Bond ETF,stocks,us,ARCX,ETF,True,usd,0001776878,2025-09-21T06:04:50.626827222Z
AAAA,Amplius Aggressive Asset Allocation ETF,stocks,us,BATS,ETF,True,usd,,2025-09-21T06:04:50.626827482Z
AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,True,usd,0001708646,2025-09-21T06:04:50.626827562Z
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002034334,2025-09-21T06:04:50.626827813Z
AACBR,Artius II Acquisition Inc. Rights,stocks,us,XNAS,RIGHT,True,usd,0002034334,2025-09-21T06:04:50.626828013Z
AACBU,Artius II Acquisition Inc. Units,stocks,us,XNAS,UNIT,True,usd,0002034334,2025-09-21T06:04:50.626828203Z
AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001420529,2025-09-21T06:04:50.626828384Z
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002044009,2025-09-21T06:04:50.626828474Z
AACIU,Armada Acquisition Corp. II Units,stocks,us,XNAS,UNIT,True,usd,0002044009,2025-09-21T06:04:50.626828744Z
AACIW,Armada Acquisition Corp. II Warrant,stocks,us,XNAS,WARRANT,True,usd,0002044009,2025-09-21T06:04:50.626828825Z
AACT,Ares Acquisition Corporation II,stocks,us,XNYS,CS,True,usd,0001853138,2025-09-21T06:04:50.626828975Z
AACT.U,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,True,usd,0001853138,2025-09-21T06:04:50.626829055Z
AACT.WS,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",stocks,us,XNYS,WARRANT,True,usd,0001853138,2025-09-21T06:04:50.626829135Z
AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,True,usd,0001408970,2025-09-21T06:04:50.626829215Z
AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,True,usd,0000006201,2025-09-21T06:04:50.626829295Z
AALG,Leverage Shares 2X Long AAL Daily ETF,stocks,us,XNAS,ETF,True,usd,0001976322,2025-09-21T06:04:50.626829376Z
AAM,AA Mission Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0002012964,2025-09-21T06:04:50.626829666Z
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,True,usd,0002012964,2025-09-21T06:04:50.626829746Z
AAM.WS,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",stocks,us,XNYS,WARRANT,True,usd,0002012964,2025-09-21T06:04:50.626829877Z
AAME,Atlantic American Corp,stocks,us,XNAS,CS,True,usd,0000008177,2025-09-21T06:04:50.626829957Z
AAMI,Acadian Asset Management Inc.,stocks,us,XNYS,CS,True,usd,0001748824,2025-09-21T06:04:50.626830037Z
AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,True,usd,0001158114,2025-09-21T06:04:50.626830117Z
AAON,Aaon Inc,stocks,us,XNAS,CS,True,usd,0000824142,2025-09-21T06:04:50.626830317Z
AAP,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,True,usd,0001158449,2025-09-21T06:04:50.626830398Z
AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,stocks,us,XNAS,ETF,True,usd,0001689873,2025-09-21T06:04:50.626830468Z
AAPD,Direxion Daily AAPL Bear 1X Shares,stocks,us,XNAS,ETF,True,usd,,2025-09-21T06:04:50.626830558Z
AAPG,Ascentage Pharma Group International American Depository Shares,stocks,us,XNAS,ADRC,True,usd,0002023311,2025-09-21T06:04:50.626830638Z
AAPL,Apple Inc.,stocks,us,XNAS,CS,True,usd,0000320193,2025-09-21T06:04:50.626830718Z
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,stocks,us,BATS,ETF,True,usd,0001415726,2025-09-21T06:04:50.626830798Z
AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares,stocks,us,XNAS,ETF,True,usd,,2025-09-21T06:04:50.626830879Z
AAPW,Roundhill AAPL WeeklyPay ETF,stocks,us,BATS,ETF,True,usd,,2025-09-21T06:04:50.626830959Z
AAPX,T-Rex 2X Long Apple Daily Target ETF,stocks,us,BATS,ETF,True,usd,,2025-09-21T06:04:50.626831039Z
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,stocks,us,BATS,ETF,True,usd,0001848758,2025-09-21T06:04:50.626831259Z
AARD,"Aardvark Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001774857,2025-09-21T06:04:50.626831339Z
AAT,"AMERICAN ASSETS TRUST, INC.",stocks,us,XNYS,CS,True,usd,0001500217,2025-09-21T06:04:50.6268316Z
AAUC,Allied Gold Corporation,stocks,us,XNYS,CS,True,usd,0001993344,2025-09-21T06:04:50.62683168Z
AAUS,Alpha Architect US Equity ETF,stocks,us,XNAS,ETF,True,usd,,2025-09-21T06:04:50.62683175Z
AAVM,EA Series Trust Alpha Architect Global Factor Equity ETF,stocks,us,XNAS,ETF,True,usd,,2025-09-21T06:04:50.62683183Z
AAXJ,iShares MSCI All Country Asia ex Japan ETF,stocks,us,XNAS,ETF,True,usd,0001100663,2025-09-21T06:04:50.62683192Z
AB,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,True,usd,0000825313,2025-09-21T06:04:50.626831991Z
ABAT,American Battery Technology Company Common Stock,stocks,us,XNAS,CS,True,usd,0001576873,2025-09-21T06:04:50.626832071Z
ABBV,ABBVIE INC.,stocks,us,XNYS,CS,True,usd,0001551152,2025-09-21T06:04:50.626832151Z
ABCB,Ameris Bancorp,stocks,us,XNYS,CS,True,usd,0000351569,2025-09-21T06:04:50.626832231Z
ABCL,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001703057,2025-09-21T06:04:50.626832321Z
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,stocks,us,XNAS,ETF,True,usd,,2025-09-21T06:04:50.626832401Z
ABEO,Abeona Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0000318306,2025-09-21T06:04:50.626832482Z
ABEQ,Absolute Select Value ETF,stocks,us,ARCX,ETF,True,usd,0001199046,2025-09-21T06:04:50.626832562Z
ABEV,AMBEV S.A.,stocks,us,XNYS,ADRC,True,usd,0001565025,2025-09-21T06:04:50.626832642Z
ABFL,Abacus FCF Leaders ETF,stocks,us,BATS,ETF,True,usd,,2025-09-21T06:04:50.626832842Z
ABG,"Asbury Automotive Group, Inc.",stocks,us,XNYS,CS,True,usd,0001144980,2025-09-21T06:04:50.626832932Z
ABI,VictoryShares Pioneer Asset-Based Income ETF,stocks,us,XNAS,ETF,True,usd,,2025-09-21T06:04:50.626833053Z
ABIG,Argent Large Cap ETF,stocks,us,XNAS,ETF,True,usd,,2025-09-21T06:04:50.626833133Z
ABL,"Abacus Global Management, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001814287,2025-09-21T06:04:50.626833203Z
ABLD,Abacus FCF Real Assets Leaders ETF,stocks,us,BATS,ETF,True,usd,,2025-09-21T06:04:50.626833293Z
ABLG,Abacus FCF International Leaders ETF,stocks,us,BATS,ETF,True,usd,,2025-09-21T06:04:50.626833363Z
ABLLL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",stocks,us,XNAS,CS,True,usd,0001814287,2025-09-21T06:04:50.626833453Z
ABLS,Abacus FCF Small Cap Leaders ETF,stocks,us,BATS,ETF,True,usd,,2025-09-21T06:04:50.626833524Z
ABLV,Able View Global Inc. Class B Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001957489,2025-09-21T06:04:50.626833604Z
ABLVW,Able View Global Inc. Warrant,stocks,us,XNAS,WARRANT,True,usd,0001957489,2025-09-21T06:04:50.626833684Z
ABM,"ABM Industries, Inc.",stocks,us,XNYS,CS,True,usd,0000771497,2025-09-21T06:04:50.626833764Z
ABNB,"Airbnb, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001559720,2025-09-21T06:04:50.626833844Z
ABNY,YieldMax ABNB Option Income Strategy ETF,stocks,us,ARCX,ETS,True,usd,,2025-09-21T06:04:50.626833934Z
